"id","name","code","section_id","division_id","subdivision_id"
111,"0111 - Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.","0111",1,1,11
112,"0112 - Cultivo de arroz.","0112",1,1,11
113,"0113 - Cultivo de hortalizas, raíces y tubérculos.","0113",1,1,11
114,"0114 - Cultivo de tabaco.","0114",1,1,11
115,"0115 - Cultivo de plantas textiles.","0115",1,1,11
119,"0119 - Otros cultivos transitorios n.c.p.","0119",1,1,11
121,"0121 - Cultivo de frutas tropicales y subtropicales.","0121",1,1,12
122,"0122 - Cultivo de plátano y banano.","0122",1,1,12
123,"0123 - Cultivo de café.","0123",1,1,12
124,"0124 - Cultivo de caña de azúcar.","0124",1,1,12
125,"0125 - Cultivo de flor de corte.","0125",1,1,12
126,"0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos.","0126",1,1,12
127,"0127 - Cultivo de plantas con las que se preparan bebidas.","0127",1,1,12
128,"0128 - Cultivo de especias y de plantas aromáticas y medicinales.","0128",1,1,12
129,"0129 - Otros cultivos permanentes n.c.p.","0129",1,1,12
130,"0130 - Propagación de plantas (actividades de los viveros, excepto viveros forestales).","0130",1,1,13
141,"0141 - Cría de ganado bovino y bufalino.","0141",1,1,14
142,"0142 - Cría de caballos y otros equinos.","0142",1,1,14
143,"0143 - Cría de ovejas y cabras.","0143",1,1,14
144,"0144 - Cría de ganado porcino.","0144",1,1,14
145,"0145 - Cría de aves de corral.","0145",1,1,14
149,"0149 - Cría de otros animales n.c.p.","0149",1,1,14
150,"0150 - Explotación mixta (agrícola y pecuaria).","0150",1,1,15
161,"0161 - Actividades de apoyo a la agricultura.","0161",1,1,16
162,"0162 - Actividades de apoyo a la ganadería.","0162",1,1,16
163,"0163 - Actividades posteriores a la cosecha.","0163",1,1,16
164,"0164 - Tratamiento de semillas para propagación.","0164",1,1,16
170,"0170 - Caza ordinaria y mediante trampas y actividades de servicios conexas.","0170",1,1,17
210,"0210 - Silvicultura y otras actividades forestales.","0210",1,2,21
220,"0220 - Extracción de madera.","0220",1,2,22
230,"0230 - Recolección de productos forestales diferentes a la madera.","0230",1,2,23
240,"0240 - Servicios de apoyo a la silvicultura.","0240",1,2,24
311,"0311 - Pesca marítima.","0311",1,3,31
312,"0312 - Pesca de agua dulce.","0312",1,3,31
321,"0321 - Acuicultura marítima.","0321",1,3,32
322,"0322 - Acuicultura de agua dulce.","0322",1,3,32
510,"0510 - Extracción de hulla (carbón de piedra).","0510",2,5,51
520,"0520 - Extracción de carbón lignito.","0520",2,5,52
610,"0610 - Extracción de petróleo crudo.","0610",2,6,61
620,"0620 - Extracción de gas natural.","0620",2,6,62
710,"0710 - Extracción de minerales de hierro.","0710",2,7,71
721,"0721 - Extracción de minerales de uranio y de torio.","0721",2,7,72
722,"0722 - Extracción de oro y otros metales preciosos.","0722",2,7,72
723,"0723 - Extracción de minerales de níquel.","0723",2,7,72
729,"0729 - Extracción de otros minerales metalíferos no ferrosos n.c.p.","0729",2,7,72
811,"0811 - Extracción de piedra, arena, arcillas comunes, yeso y anhidrita.","0811",2,8,81
812,"0812 - Extracción de arcillas de uso industrial, caliza, caolín y bentonitas.","0812",2,8,81
820,"0820 - Extracción de esmeraldas, piedras preciosas y semipreciosas.","0820",2,8,82
891,"0891 - Extracción de minerales para la fabricación de abonos y productos químicos.","0891",2,8,89
892,"0892 - Extracción de halita (sal).","0892",2,8,89
899,"0899 - Extracción de otros minerales no metálicos n.c.p.","0899",2,8,89
910,"0910 - Actividades de apoyo para la extracción de petróleo y de gas natural.","0910",2,9,91
990,"0990 - Actividades de apoyo para otras actividades de explotación de minas y canteras.","0990",2,9,99
1011,"1011 - Procesamiento y conservación de carne y productos cárnicos.","1011",3,10,101
1012,"1012 - Procesamiento y conservación de pescados, crustáceos y moluscos.","1012",3,10,101
1020,"1020 - Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos.","1020",3,10,102
1030,"1030 - Elaboración de aceites y grasas de origen vegetal y animal.","1030",3,10,103
1040,"1040 - Elaboración de productos lácteos.","1040",3,10,104
1051,"1051 - Elaboración de productos de molinería.","1051",3,10,105
1052,"1052 - Elaboración de almidones y productos derivados del almidón.","1052",3,10,105
1061,"1061 - Trilla de café.","1061",3,10,106
1062,"1062 - Descafeinado, tostión y molienda del café.","1062",3,10,106
