"id","name","code"
"1","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","A"
"2","EXPLOTACIÓN DE MINAS Y CANTERAS","B"
"3","INDUSTRIAS MANUFACTURERAS","C"
"4","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO","D"
"5","DISTRIBUCIÓN DE AGUA; EVACUACIÓN Y TRATAMIENTO DE AGUAS RESIDUALES, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO AMBIENTAL","E"
"6","CONSTRUCCIÓN","F"
"7","COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS","G"
"8","TRANSPORTE Y ALMACENAMIENTO","H"
"9","ALOJAMIENTO Y SERVICIOS DE COMIDA","I"
"10","INFORMACIÓN Y COMUNICACIONES","J"
"11","ACTIVIDADES FINANCIERAS Y DE SEGUROS","K"
"12","ACTIVIDADES INMOBILIARIAS","L"
"13","ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS","M"
"14","ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","N"
"15","ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA","O"
"16","EDUCACIÓN","P"
"17","ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL","Q"
"18","ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN","R"
"19","OTRAS ACTIVIDADES DE SERVICIOS","S"
"20","ACTIVIDADES DE LOS HOGARES INDIVIDUALES EN CALIDAD DE EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES INDIVIDUALES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.","T"
"21","ACTIVIDADES DE ORGANIZACIONES Y ENTIDADES EXTRATERRITORIALES","U"
