"id","name","scope","code"
"1","Un documento electrónico","radian","1"
"2","Maximo 20 documentos electrónicos","radian","2"
"3","Todos los documentos de tipo invoice","radian","3"
"4","Factura de Venta Nacional Pre-Numerado - Electrónica","health","01"
"5","Nota Crédito A Factura Electrónica – Electrónica","health","91"
"6","Factura de Venta - Talonario Pre-Numerado / Papel","health","210"
"7","Factura de Venta Contingencia FE - Talonario Pre-Numerado / Papel","health","215"
"8","Factura de Venta Por Computador - Talonario Post-Numerado / Papel","health","220"
"9","Factura de Venta Sistema POS - Talonario Post-Numerado / Papel","health","230"
"10","Documento Equivalente Talonario Numerado – Papel","health","240"
"11","Documento Equivalente Electrónico Talonario Numerado","health","250"
