"id","name","code","cufe_algorithm","prefix","type"
"1","Factura electrónica de venta","01","CUFE-SHA384","fv","CUFE"
"2","Factura electrónica de exportación","02","CUFE-SHA384","fv","CUFE"
"3","Factura electrónica de contingencia talonario o papel","03","CUDE-SHA384","fv","CUDE"
"4","Factura electrónica de contingencia contingencia DIAN","04","CUFE-SHA384","fv","CUFE"
"5","Nota de crédito electrónica","91","CUDE-SHA384","nc","CUDE"
"6","Nota de débito electrónica","92","CUDE-SHA384","nd","CUDE"
"7","ZIP","","","z",""
"8","Application Response","96","CUDE-SHA384","ar","CUDE"
"9","Attached Document","","","ad",""
"10","Documento Soporte de Pago de Nómina Electrónica","102","CUNE-SHA384","nie","CUNE"
"11","Nota de Ajuste de Documento Soporte de Pago de Nómina Electrónica","103","CUNE-SHA384","niae","CUNE"
"12","Documento Soporte Electrónico","05","CUDS-SHA384","ds","CUDS"
"13","Nota Documento Soporte Electrónico","95","CUDS-SHA384","nas","CUDS"
"101","Factura de Venta (No electrónica)","","","",""
"105","Nota de crédito (No electrónica)","","","",""
"106","Nota de débito (No electrónica)","","","",""
