id,name,code
unece_uom_code_1,Spray Pequeño,04
unece_uom_code_2,Levantar,05
unece_uom_code_3,Lote Calor,08
unece_uom_code_4,Grupo,10
unece_uom_code_5,Equipar,11
unece_uom_code_6,Ración,13
unece_uom_code_7,Disparo,14
unece_uom_code_8,Palo,15
unece_uom_code_9,Tambor De Ciento Quince Kg,16
unece_uom_code_10,Tambor De Cien Libras,17
unece_uom_code_11,Tambor De Cincuenta Y Cinco Galones (Us),18
unece_uom_code_12,Camión Cisterna,19
unece_uom_code_13,Contenedor De Veinte Pies,20
unece_uom_code_14,Contenedor De Cuarenta Pies,21
unece_uom_code_15,Decilitro Por Gramo,22
unece_uom_code_16,Gramo Por Centímetro Cúbico,23
unece_uom_code_17,Libra Teórica,24
unece_uom_code_18,Gramo Por Centímetro Cuadrado,25
unece_uom_code_19,Tonelada Real,26
unece_uom_code_20,Tonelada Teórica,27
unece_uom_code_21,Kilogramo Por Metro Cuadrado,28
unece_uom_code_22,Libra Por Mil Pies Cuadrados,29
unece_uom_code_24,Coger Peso,31
unece_uom_code_25,Kilogramo Por Aire Seco Tonelada Métrica,32
unece_uom_code_26,Kilopascales Metros Cuadrados Por Gramo,33
unece_uom_code_27,Kilopascales Por Milímetro,34
unece_uom_code_28,Mililitros Por Centímetro Cuadrado Segundo,35
unece_uom_code_29,Pies Cúbicos Por Minuto Por Pie Cuadrado,36
unece_uom_code_30,Onza Por Pie Cuadrado,37
unece_uom_code_31,"Onzas Por Pie Cuadrado Por 0,01 Pulgadas",38
unece_uom_code_32,Mililitro Por Segundo,40
unece_uom_code_33,Mililitro Por Minuto,41
unece_uom_code_34,Bolsa Súper A Granel,43
unece_uom_code_35,Bolsa A Granel De Quinientos Kg,44
unece_uom_code_36,Bolsa A Granel De Trescientos Kg,45
unece_uom_code_37,Bolsa A Granel De Cincuenta Libras,46
unece_uom_code_38,Bolsa De Cincuenta Libras,47
unece_uom_code_39,Carga De Automóviles A Granel,48
unece_uom_code_40,Kilogramos Teóricos,53
unece_uom_code_23,Día De Potencia Del Caballo Por Tonelada Métrica Seca Al Aire.,30
unece_uom_code_41,Tonelada Teórica,54
unece_uom_code_42,Sitas,56
unece_uom_code_43,Malla,57
unece_uom_code_44,Kilogramo Neto,58
unece_uom_code_45,Parte Por Millón,59
unece_uom_code_46,Porcentaje De Peso,60
unece_uom_code_47,Parte Por Billón (Us),61
unece_uom_code_48,Porcentaje Por 1000 Horas,62
unece_uom_code_49,Tasa De Fracaso En El Tiempo,63
unece_uom_code_50,"Libra Por Pulgada Cuadrada, Calibre",64
unece_uom_code_51,Oersted,66
unece_uom_code_52,Prueba De Escala Específica,69
unece_uom_code_53,Voltio Amperio Por Libra,71
unece_uom_code_54,Vatio Por Libra,72
unece_uom_code_55,Amperio Tum Por Centímetro,73
unece_uom_code_56,Milipascal,74
unece_uom_code_57,Gauss,76
unece_uom_code_58,Mili Pulgadas,77
unece_uom_code_59,Kilogauss,78
unece_uom_code_60,Libras Por Pulgada Cuadrada Absoluta,80
unece_uom_code_61,Enrique,81
unece_uom_code_62,Kilopound Por Pulgada Cuadrada,84
unece_uom_code_63,Fuerza Libra Pie,85
unece_uom_code_64,Libra Por Pie Cúbico,87
unece_uom_code_65,Equilibrio,89
unece_uom_code_66,Saybold Segundo Universal,90
unece_uom_code_67,Alimenta,91
unece_uom_code_68,Calorías Por Centímetro Cúbico,92
unece_uom_code_69,Calorías Por Gramo,93
unece_uom_code_70,Unidad,94
unece_uom_code_71,Veinte Mil Galones (Us) De Carros,95
unece_uom_code_72,Diez Mil Galones (Us) De Carros,96
unece_uom_code_73,Tambor De Diez Kg,97
unece_uom_code_74,Tambor De Quince Kg,98
unece_uom_code_75,Milla De Coche,1ª
unece_uom_code_76,Recuento De Coches,1B
unece_uom_code_77,Recuento De Locomotoras,1C
unece_uom_code_78,Recuento De Cabos,1D
unece_uom_code_79,Carro Vacio,1E
unece_uom_code_80,Millas De Tren,1F
unece_uom_code_81,Uso De Combustible Galón (Us),1G
unece_uom_code_82,Milla Del Caboose,1H
unece_uom_code_83,Tipo De Interés Fijo,1I
unece_uom_code_84,Tonelada Milla,1J
unece_uom_code_85,Milla Locomotora,1K
unece_uom_code_86,Recuento Total De Coches,1L
unece_uom_code_87,Milla De Coche Total,1M
unece_uom_code_88,Cuarto De Milla,1X
unece_uom_code_89,Radianes Por Segundo,2ª
unece_uom_code_90,Radianes Por Segundo Al Cuadrado,2B
unece_uom_code_91,Röntgen,2C
unece_uom_code_92,Unidad Térmica Británica Por Hora.,2I
unece_uom_code_93,Centímetro Cúbico Por Segundo,2J
